"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"LED5MM";"LED5MM";"L_CLIP, R_CLIP";"LED";"";"";"";"";
"2";"";"LEDSQR2X5";"LED2X5";"ON+, ON-";"LED";"";"";"";"";
"4";"0.1uF";"C-EU025-025X050";"C025-025X050";"C5, C6, C8, C10";"CAPACITOR, European symbol";"";"";"";"";
"2";"1000uF";"CPOL-EUE2.5-6";"E2,5-6";"C1, C9";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"4";"100kΩ";"R-EU_0207/10";"0207/10";"R16, R17, R23, R24";"RESISTOR, European symbol";"";"";"";"";
"2";"10kΩ";"3362U";"3362U";"VR3, VR4";"3362 Series";"";"";"";"";
"4";"10kΩ";"R-EU_0207/10";"0207/10";"R13, R14, R20, R21";"RESISTOR, European symbol";"";"";"";"";
"2";"10uF";"CPOL-EUE2.5-6";"E2,5-6";"C4, C11";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"2";"12kΩ";"R-EU_0207/10";"0207/10";"R7, R11";"RESISTOR, European symbol";"";"";"";"";
"4";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"D1, D2, D3, D4";"DIODE";"";"";"";"";
"6";"1kΩ";"R-EU_0207/10";"0207/10";"R3, R4, R9, R12, R15, R22";"RESISTOR, European symbol";"";"";"";"";
"2";"2.2kΩ";"R-EU_0207/10";"0207/10";"R19, R26";"RESISTOR, European symbol";"";"";"";"";
"2";"220kΩ";"R-EU_0207/10";"0207/10";"R8, R10";"RESISTOR, European symbol";"";"";"";"";
"2";"2N3904";"2N3904";"TO92";"Q2, Q5";"NPN Transistor";"";"";"";"";
"2";"2N3906";"2N3906";"TO92";"Q3, Q6";"PNP Transistor";"";"";"";"";
"2";"4.7V";"ZENER-DIODEDO34-7";"DO34Z7";"D5, D6";"Z-Diode";"";"";"";"";
"2";"56kΩ";"R-EU_0207/10";"0207/10";"R18, R25";"RESISTOR, European symbol";"";"";"";"";
"1";"AUDIO-JACK2PTH";"AUDIO-JACK2PTH";"AUDIO-JACK";"AUDIO_IN1";"Stereo audio jack with bypass switches.";"";"";"";"";
"1";"LM339N";"LM339N";"DIL14";"IC2";"Low Power Low Offset Voltage Quad Comparators";"";"";"";"";
"1";"LM833N";"LM833N";"DIL08";"IC1";"OP AMP";"";"";"";"";
"2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"PWR+, PWR-";"Power Jack";"";"";"";"";
"2";"TIP31C";"TIP31C";"TO220";"Q4, Q7";"NPN Transistor";"";"";"";"";
"2";"TIP32C";"TIP32C";"TO220";"T1, T2";"PNP Transistor  Medium Power Linear Switching Applications";"";"";"";"";
"4";"TOBU3";"TOBU3";"TOBU3";"AUDIO_IN2, AUDIO_IN3, L_OUT, R_OUT";"Female Cinch CONNECTOR ( RCA Jack )";"FARNELL";"TOBU 3";"592791";"06WX5914";
